corpus,drama,begin,end,Speaker.figure_surface,Speaker.figure_id,Token.surface,Token.pos,Token.lemma,length,Mentioned.figure_surface,Mentioned.figure_id
gdc,tvb0.0,1585,1723,Erster Rat,erster_rat,Die,ART,der,7507,,
gdc,tvb0.0,1585,1723,Erster Rat,erster_rat,Feierlichkeit,NN,feierlichkeit,7507,,
gdc,tvb0.0,1585,1723,Erster Rat,erster_rat,ist,VAFIN,sein,7507,,
gdc,tvb0.0,1585,1723,Erster Rat,erster_rat,zu,APPR,zu,7507,,
gdc,tvb0.0,1585,1723,Erster Rat,erster_rat,Ende,NN,ende,7507,,
gdc,tvb0.0,1585,1723,Erster Rat,erster_rat,.,$.,--,7507,,
gdc,tvb0.0,1585,1723,Erster Rat,erster_rat,Die,ART,der,7507,,
gdc,tvb0.0,1585,1723,Erster Rat,erster_rat,Erhebung,NN,erhebung,7507,,
gdc,tvb0.0,1585,1723,Erster Rat,erster_rat,hat,VAFIN,haben,7507,,
gdc,tvb0.0,1585,1723,Erster Rat,erster_rat,bereits,ADV,bereits,7507,,
gdc,tvb0.0,1585,1723,Erster Rat,erster_rat,stattgefunden,VVPP,stattfinden,7507,,
gdc,tvb0.0,1585,1723,Erster Rat,erster_rat,.,$.,--,7507,,
gdc,tvb0.0,1585,1723,Erster Rat,erster_rat,Wir,PPER,wir,7507,,
gdc,tvb0.0,1585,1723,Erster Rat,erster_rat,haben,VAFIN,haben,7507,,
gdc,tvb0.0,1585,1723,Erster Rat,erster_rat,wieder,ADV,wieder,7507,,
gdc,tvb0.0,1585,1723,Erster Rat,erster_rat,eine,ART,ein,7507,,
gdc,tvb0.0,1585,1723,Erster Rat,erster_rat,gnädige,ADJA,gnädig,7507,,
gdc,tvb0.0,1585,1723,Erster Rat,erster_rat,Frau,NN,frau,7507,,
gdc,tvb0.0,1585,1723,Erster Rat,erster_rat,Gebieterin,NN,gebieterin,7507,,
gdc,tvb0.0,1585,1723,Erster Rat,erster_rat,.,$.,--,7507,,
gdc,tvb0.0,1585,1723,Erster Rat,erster_rat,Endlich,ADV,endlich,7507,,
gdc,tvb0.0,1585,1723,Erster Rat,erster_rat,"!",$.,--,7507,,
gdc,tvb0.0,1728,1770,Zweiter Rat,zweiter_rat,Wie,PWAV,wie,7507,,
gdc,tvb0.0,1728,1770,Zweiter Rat,zweiter_rat,heisst,ADV,heißen,7507,,
gdc,tvb0.0,1728,1770,Zweiter Rat,zweiter_rat,denn,ADV,denn,7507,,
gdc,tvb0.0,1728,1770,Zweiter Rat,zweiter_rat,nur,ADV,nur,7507,,
gdc,tvb0.0,1728,1770,Zweiter Rat,zweiter_rat,die,ART,der,7507,,
gdc,tvb0.0,1728,1770,Zweiter Rat,zweiter_rat,Dame,NN,--,7507,,
gdc,tvb0.0,1728,1770,Zweiter Rat,zweiter_rat,?,$.,--,7507,,
gdc,tvb0.0,1775,1812,Erster Rat,erster_rat,Okurirasûna,NE,okurirasûna,7507,okurirasuna,(3)
gdc,tvb0.0,1775,1812,Erster Rat,erster_rat,"!",$.,--,7507,,
gdc,tvb0.0,1775,1812,Erster Rat,erster_rat,Okurirasûna,NE,okurirasûna,7507,okurirasuna,(3)
gdc,tvb0.0,1775,1812,Erster Rat,erster_rat,"!",$.,--,7507,,
gdc,tvb0.0,1817,1901,Zweiter Rat,zweiter_rat,Okurirasûna,NE,okurirasûna,7507,okurirasuna,(3)
gdc,tvb0.0,1817,1901,Zweiter Rat,zweiter_rat,"!",$.,--,7507,,
gdc,tvb0.0,1817,1901,Zweiter Rat,zweiter_rat,Ganz,ADV,ganz,7507,,
gdc,tvb0.0,1817,1901,Zweiter Rat,zweiter_rat,hübscher,ADJA,hübsch,7507,,
gdc,tvb0.0,1817,1901,Zweiter Rat,zweiter_rat,Name,NN,name,7507,,
gdc,tvb0.0,1817,1901,Zweiter Rat,zweiter_rat,"!",$.,--,7507,,
gdc,tvb0.0,1817,1901,Zweiter Rat,zweiter_rat,Und,KON,und,7507,,
gdc,tvb0.0,1817,1901,Zweiter Rat,zweiter_rat,–,KOUS,–,7507,,
gdc,tvb0.0,1817,1901,Zweiter Rat,zweiter_rat,man,PIS,man,7507,,
gdc,tvb0.0,1817,1901,Zweiter Rat,zweiter_rat,wird,VAFIN,werden,7507,,
gdc,tvb0.0,1817,1901,Zweiter Rat,zweiter_rat,ihn,PPER,ihn,7507,,
gdc,tvb0.0,1817,1901,Zweiter Rat,zweiter_rat,sich,PRF,sich,7507,,
gdc,tvb0.0,1817,1901,Zweiter Rat,zweiter_rat,merken,VVINF,merken,7507,,
gdc,tvb0.0,1817,1901,Zweiter Rat,zweiter_rat,müssen,VMINF,müssen,7507,,
gdc,tvb0.0,1817,1901,Zweiter Rat,zweiter_rat,.,$.,--,7507,,
gdc,tvb0.0,1906,1951,Erster Rat,erster_rat,Die,ART,der,7507,,
gdc,tvb0.0,1906,1951,Erster Rat,erster_rat,Dame,NN,--,7507,,
gdc,tvb0.0,1906,1951,Erster Rat,erster_rat,ist,VAFIN,sein,7507,,
gdc,tvb0.0,1906,1951,Erster Rat,erster_rat,nur,ADV,nur,7507,,
gdc,tvb0.0,1906,1951,Erster Rat,erster_rat,noch,ADV,noch,7507,,
gdc,tvb0.0,1906,1951,Erster Rat,erster_rat,etwas,PIS,etwas,7507,,
gdc,tvb0.0,1906,1951,Erster Rat,erster_rat,jung,ADJD,jung,7507,,
gdc,tvb0.0,1906,1951,Erster Rat,erster_rat,.,$.,--,7507,,
gdc,tvb0.0,1956,1990,Zweiter Rat,zweiter_rat,Wie,PWAV,wie,7507,,
gdc,tvb0.0,1956,1990,Zweiter Rat,zweiter_rat,alt,ADJD,alt,7507,,
gdc,tvb0.0,1956,1990,Zweiter Rat,zweiter_rat,ist,VAFIN,sein,7507,,
gdc,tvb0.0,1956,1990,Zweiter Rat,zweiter_rat,sie,PPER,sie,7507,,
gdc,tvb0.0,1956,1990,Zweiter Rat,zweiter_rat,denn,ADV,denn,7507,,
gdc,tvb0.0,1956,1990,Zweiter Rat,zweiter_rat,?,$.,--,7507,,
gdc,tvb0.0,1995,2100,Erster Rat,erster_rat,Ach,ITJ,ach,7507,,
gdc,tvb0.0,1995,2100,Erster Rat,erster_rat,"!",$.,--,7507,,
gdc,tvb0.0,1995,2100,Erster Rat,erster_rat,Ihre,PPOSAT,ihr,7507,,
gdc,tvb0.0,1995,2100,Erster Rat,erster_rat,Jugend,NN,jugend,7507,,
gdc,tvb0.0,1995,2100,Erster Rat,erster_rat,ist,VAFIN,sein,7507,,
gdc,tvb0.0,1995,2100,Erster Rat,erster_rat,das,ART,der,7507,,
gdc,tvb0.0,1995,2100,Erster Rat,erster_rat,Merkwürdigste,NN,merkwürdigste,7507,,
gdc,tvb0.0,1995,2100,Erster Rat,erster_rat,an,APPR,an,7507,,
gdc,tvb0.0,1995,2100,Erster Rat,erster_rat,ihr,PPER,ihr,7507,,
gdc,tvb0.0,1995,2100,Erster Rat,erster_rat,;,$.,--,7507,,
gdc,tvb0.0,1995,2100,Erster Rat,erster_rat,sie,PPER,sie,7507,,
gdc,tvb0.0,1995,2100,Erster Rat,erster_rat,lebt,VVFIN,leben,7507,,
gdc,tvb0.0,1995,2100,Erster Rat,erster_rat,erst,ADV,erst,7507,,
gdc,tvb0.0,1995,2100,Erster Rat,erster_rat,sieben,CARD,sieben,7507,,
gdc,tvb0.0,1995,2100,Erster Rat,erster_rat,und,KON,und,7507,,
gdc,tvb0.0,1995,2100,Erster Rat,erster_rat,zwanzig,CARD,zwanzig,7507,,
gdc,tvb0.0,1995,2100,Erster Rat,erster_rat,Jahrhunderte,NN,jahrhundert,7507,,
gdc,tvb0.0,1995,2100,Erster Rat,erster_rat,.,$.,--,7507,,
gdc,tvb0.0,2105,2275,Zweiter Rat,zweiter_rat,Du,PPER,du,7507,,
gdc,tvb0.0,2105,2275,Zweiter Rat,zweiter_rat,lieber,ADJA,lieb,7507,,
gdc,tvb0.0,2105,2275,Zweiter Rat,zweiter_rat,Himmel,NN,himmel,7507,,
gdc,tvb0.0,2105,2275,Zweiter Rat,zweiter_rat,"!",$.,--,7507,,
gdc,tvb0.0,2105,2275,Zweiter Rat,zweiter_rat,Wenn,KOUS,wenn,7507,,
gdc,tvb0.0,2105,2275,Zweiter Rat,zweiter_rat,das,PDS,der,7507,,
gdc,tvb0.0,2105,2275,Zweiter Rat,zweiter_rat,blos,ADJD,blos,7507,,
