corpus,drama,begin,end,Speaker.figure_surface,Speaker.figure_id,Token.surface,Token.pos,Token.lemma,length,Mentioned.figure_surface,Mentioned.figure_id
gdc,kmdh.0,2033,2236,Gertrude,gertrude,Sechs,CARD,sechs,31540,,
gdc,kmdh.0,2033,2236,Gertrude,gertrude,große,ADJA,groß,31540,,
gdc,kmdh.0,2033,2236,Gertrude,gertrude,Tafeltücher,NN,tafeltuch,31540,,
gdc,kmdh.0,2033,2236,Gertrude,gertrude,nebst,APPR,nebst,31540,,
gdc,kmdh.0,2033,2236,Gertrude,gertrude,Servietten,NN,serviette,31540,,
gdc,kmdh.0,2033,2236,Gertrude,gertrude,",","$,",--,31540,,
gdc,kmdh.0,2033,2236,Gertrude,gertrude,zwölf,CARD,zwölf,31540,,
gdc,kmdh.0,2033,2236,Gertrude,gertrude,kleine,ADJA,klein,31540,,
gdc,kmdh.0,2033,2236,Gertrude,gertrude,zu,APPR,zu,31540,,
gdc,kmdh.0,2033,2236,Gertrude,gertrude,zwölf,CARD,zwölf,31540,,
gdc,kmdh.0,2033,2236,Gertrude,gertrude,Personen,NN,person,31540,,
gdc,kmdh.0,2033,2236,Gertrude,gertrude,",","$,",--,31540,,
gdc,kmdh.0,2033,2236,Gertrude,gertrude,zehn,CARD,zehn,31540,,
gdc,kmdh.0,2033,2236,Gertrude,gertrude,Dutzend,NN,dutzend,31540,,
gdc,kmdh.0,2033,2236,Gertrude,gertrude,Handtücher,NN,handtuch,31540,,
gdc,kmdh.0,2033,2236,Gertrude,gertrude,–,CARD,–,31540,,
gdc,kmdh.0,2033,2236,Gertrude,gertrude,hast,VAFIN,haben,31540,,
gdc,kmdh.0,2033,2236,Gertrude,gertrude,Du,PPER,du,31540,,
gdc,kmdh.0,2033,2236,Gertrude,gertrude,',$(,--,31540,,
gdc,kmdh.0,2033,2236,Gertrude,gertrude,s,PPER,--,31540,,
gdc,kmdh.0,2033,2236,Gertrude,gertrude,?,$.,--,31540,,
gdc,kmdh.0,2241,2506,Dorle,dore,Hab,XY,hab,31540,,
gdc,kmdh.0,2241,2506,Dorle,dore,Alles,PIS,alle,31540,,
gdc,kmdh.0,2241,2506,Dorle,dore,",","$,",--,31540,,
gdc,kmdh.0,2241,2506,Dorle,dore,Mutter,NN,mutter,31540,,
gdc,kmdh.0,2241,2506,Dorle,dore,.,$.,--,31540,,
gdc,kmdh.0,2241,2506,Dorle,dore,Sind,VAFIN,sein,31540,,
gdc,kmdh.0,2241,2506,Dorle,dore,wir,PPER,wir,31540,,
gdc,kmdh.0,2241,2506,Dorle,dore,nun,ADV,nun,31540,,
gdc,kmdh.0,2241,2506,Dorle,dore,endlich,ADV,endlich,31540,,
gdc,kmdh.0,2241,2506,Dorle,dore,fertig,ADJD,fertig,31540,,
gdc,kmdh.0,2241,2506,Dorle,dore,?,$.,--,31540,,
gdc,kmdh.0,2511,2600,Gertrude,gertrude,Will,VMFIN,wollen,31540,,
gdc,kmdh.0,2511,2600,Gertrude,gertrude,',$(,--,31540,,
gdc,kmdh.0,2511,2600,Gertrude,gertrude,s,PPER,--,31540,,
gdc,kmdh.0,2511,2600,Gertrude,gertrude,Gott,NN,gott,31540,,
gdc,kmdh.0,2511,2600,Gertrude,gertrude,"!",$.,--,31540,,
gdc,kmdh.0,2511,2600,Gertrude,gertrude,Ist,VAFIN,sein,31540,,
gdc,kmdh.0,2511,2600,Gertrude,gertrude,ja,ADV,ja,31540,,
gdc,kmdh.0,2511,2600,Gertrude,gertrude,die,ART,der,31540,,
gdc,kmdh.0,2511,2600,Gertrude,gertrude,dreizehnte,ADJA,dreizehnter,31540,,
gdc,kmdh.0,2511,2600,Gertrude,gertrude,Kiste,NN,kiste,31540,,
gdc,kmdh.0,2511,2600,Gertrude,gertrude,mit,APPR,mit,31540,,
gdc,kmdh.0,2511,2600,Gertrude,gertrude,Leinwanden,NN,leinwehen,31540,,
gdc,kmdh.0,2511,2600,Gertrude,gertrude,",","$,",--,31540,,
gdc,kmdh.0,2511,2600,Gertrude,gertrude,die,PRELS,der,31540,,
gdc,kmdh.0,2511,2600,Gertrude,gertrude,wir,PPER,wir,31540,,
gdc,kmdh.0,2511,2600,Gertrude,gertrude,gepackt,VVPP,packen,31540,,
gdc,kmdh.0,2511,2600,Gertrude,gertrude,haben,VAFIN,haben,31540,,
gdc,kmdh.0,2511,2600,Gertrude,gertrude,"!",$.,--,31540,,
gdc,kmdh.0,2605,2710,Dorle,dore,Wo,PWAV,wo,31540,,
gdc,kmdh.0,2605,2710,Dorle,dore,denkt,VVFIN,denken,31540,,
gdc,kmdh.0,2605,2710,Dorle,dore,Ihr,PPER,ihr,31540,,
gdc,kmdh.0,2605,2710,Dorle,dore,auch,ADV,auch,31540,,
gdc,kmdh.0,2605,2710,Dorle,dore,hin,PTKVZ,hin,31540,,
gdc,kmdh.0,2605,2710,Dorle,dore,?,$.,--,31540,,
gdc,kmdh.0,2605,2710,Dorle,dore,Kann,VMFIN,können,31540,,
gdc,kmdh.0,2605,2710,Dorle,dore,ja,ADV,ja,31540,,
gdc,kmdh.0,2605,2710,Dorle,dore,das,ART,der,31540,,
gdc,kmdh.0,2605,2710,Dorle,dore,Zeug,NN,zeug,31540,,
gdc,kmdh.0,2605,2710,Dorle,dore,mein,PPOSAT,mein,31540,dore,(1)
gdc,kmdh.0,2605,2710,Dorle,dore,Lebtag,NN,lebtag,31540,,
gdc,kmdh.0,2605,2710,Dorle,dore,nicht,PTKNEG,nicht,31540,,
gdc,kmdh.0,2605,2710,Dorle,dore,verbrauchen,VVINF,verbrauchen,31540,,
gdc,kmdh.0,2605,2710,Dorle,dore,"!",$.,--,31540,,
gdc,kmdh.0,2715,3022,Gertrude,gertrude,Ach,ITJ,ach,31540,,
